"Name","ApiFocal","ApiHorizontal","ApiVertical","XmlFocal","XmlFovPresent","XmlFov","XmlAspect","XmlHeight","BimlogFocal","BimlogFovPresent","BimlogFov","BimlogAspect","BimlogHeight","DeltaFocal","DeltaFov","DeltaAspect","DeltaHeight"
"BUILD18_LARGE","10","300","200","10.0000000000","True","2.9422553486","1.5000000000","200.0000000000","10","True","2.9422553486074694","1.5","200","0","7.469580509678053E-12","0","0"
"BUILD18_MEDIUM","10","80","60","10.0000000000","True","2.4980915448","1.3333333333","60.0000000000","10","True","2.498091544796509","1.3333333333333333","60","0","3.4909852786313422E-12","3.33333360913457E-11","0"
"BUILD18_SMALL","100","10","5","100.0000000000","False","","2.0000000000","5.0000000000","100","True","0.04998958723784032","2","5","0","NOT_COMPARABLE","0","0"
"BUILD18_10DEG_MINUS","100","26.246447909643877","17.497631939762584","100.0000000000","False","","1.5000000000","17.4976319398","100","True","0.17453192519943295","1.5","17.497631939762584","0","NOT_COMPARABLE","0","3.7417180465126876E-11"
"BUILD18_10DEG_EXACT","100","26.246599057777203","17.497732705184802","100.0000000000","True","0.1745329252","1.5000000000","17.4977327052","100","True","0.17453292519943298","1.5","17.497732705184802","0","5.670186542516831E-13","0","1.5198509117908543E-11"
"BUILD18_10DEG_PLUS","100","26.246750205923753","17.497833470615834","100.0000000000","True","0.1745339252","1.5000000000","17.4978334706","100","True","0.17453392519943298","1.5","17.497833470615834","0","5.670186542516831E-13","0","1.5834444866413833E-11"
